                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   42807338 |   42816193 |   42807959 |   42829338
  Cycles                             |  103953792 |  103953792 |  103953792 |  103953792
  IPC                                |       0.41 |       0.41 |       0.41 |       0.41
  Time (ns)                          |   39080373 |   39080373 |   39080373 |   39080373
  Idle time (ns)                     |     110581 |     100924 |     102011 |      93887
  Idle time (%)                      |       0.3% |       0.3% |       0.3% |       0.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    1323064 |    1324010 |    1323202 |    1326031
  num incorrect                      |        482 |        304 |        286 |        310
  misprediction rate                 |      0.04% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2364106 |    2367906 |    2366685 |    2371961
    num misses                       |          7 |         29 |         30 |         29
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4751810 |    4757993 |    4754138 |    4765052
    num misses                       |     450481 |     450563 |     450778 |     451138
    miss rate                        |      9.48% |      9.47% |      9.48% |      9.47%
    mpki                             |      10.52 |      10.52 |      10.53 |      10.53
  L2 TLB                             |            |            |            |           
    num accesses                     |     450488 |     450592 |     450808 |     451167
    num misses                       |     194661 |     196775 |     198824 |     196586
    miss rate                        |     43.21% |     43.67% |     44.10% |     43.57%
    mpki                             |       4.55 |       4.60 |       4.64 |       4.59
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2364106 |    2367906 |    2366685 |    2371961
    num cache misses                 |        534 |        518 |        503 |        561
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4752032 |    4758174 |    4754291 |    4765214
    num cache misses                 |     126976 |     127895 |     128351 |     127049
    miss rate                        |      2.67% |      2.69% |      2.70% |      2.67%
    mpki                             |       2.97 |       2.99 |       3.00 |       2.97
  Cache L2                           |            |            |            |           
    num cache accesses               |     128654 |     129288 |     129333 |     128670
    num cache misses                 |     127510 |     128413 |     128854 |     127610
    miss rate                        |     99.11% |     99.32% |     99.63% |     99.18%
    mpki                             |       2.98 |       3.00 |       3.01 |       2.98
  Cache L3                           |            |            |            |           
    num cache accesses               |     128654 |     129288 |     129333 |     128670
    num cache misses                 |      35283 |      35348 |      35009 |      35239
    miss rate                        |     27.42% |     27.34% |     27.07% |     27.39%
    mpki                             |       0.82 |       0.83 |       0.82 |       0.82
DRAM summary                         |            |            |            |           
  num dram accesses                  |     150989 |          0 |          0 |          0
  average dram access latency (ns)   |    2379.47 |        inf |        inf |        inf
  average dram queueing delay        |    2326.04 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       9591 |       9988 |       9694 |       9923
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
