                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  121576595 |  120262413 |  120404919 |  116524070
  Cycles                             |  139867174 |  139867174 |  139867174 |  139867174
  IPC                                |       0.87 |       0.86 |       0.86 |       0.83
  Time (ns)                          |   52581645 |   52581645 |   52581645 |   52581645
  Idle time (ns)                     |    2780154 |    2758711 |    2651354 |    2720213
  Idle time (%)                      |       5.3% |       5.2% |       5.0% |       5.2%
Branch predictor stats               |            |            |            |           
  num correct                        |   11174420 |   11220871 |   11235180 |   10764408
  num incorrect                      |     971656 |     954499 |     956213 |     964919
  misprediction rate                 |      8.00% |      7.84% |      7.84% |      8.23%
  mpki                               |       7.99 |       7.94 |       7.94 |       8.28
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   16294268 |   16324981 |   16445140 |   15570998
    num misses                       |         16 |         44 |         46 |         46
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   49277666 |   48436451 |   48513117 |   47141010
    num misses                       |     240662 |     253158 |     272271 |     253552
    miss rate                        |      0.49% |      0.52% |      0.56% |      0.54%
    mpki                             |       1.98 |       2.11 |       2.26 |       2.18
  L2 TLB                             |            |            |            |           
    num accesses                     |     240678 |     253202 |     272317 |     253598
    num misses                       |      38715 |      38139 |      45429 |      46305
    miss rate                        |     16.09% |     15.06% |     16.68% |     18.26%
    mpki                             |       0.32 |       0.32 |       0.38 |       0.40
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   16294268 |   16324981 |   16445140 |   15570998
    num cache misses                 |      59332 |      61733 |      65166 |      68749
    miss rate                        |      0.36% |      0.38% |      0.40% |      0.44%
    mpki                             |       0.49 |       0.51 |       0.54 |       0.59
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   49328702 |   48487540 |   48559638 |   47189294
    num cache misses                 |    1392988 |    1608242 |    1841613 |    1598662
    miss rate                        |      2.82% |      3.32% |      3.79% |      3.39%
    mpki                             |      11.46 |      13.37 |      15.30 |      13.72
  Cache L2                           |            |            |            |           
    num cache accesses               |    1461402 |    1677345 |    1913163 |    1675270
    num cache misses                 |     441723 |     384827 |     436356 |     477697
    miss rate                        |     30.23% |     22.94% |     22.81% |     28.51%
    mpki                             |       3.63 |       3.20 |       3.62 |       4.10
  Cache L3                           |            |            |            |           
    num cache accesses               |     450805 |     392205 |     442741 |     485558
    num cache misses                 |      45464 |      49147 |      45653 |      56172
    miss rate                        |     10.09% |     12.53% |     10.31% |     11.57%
    mpki                             |       0.37 |       0.41 |       0.38 |       0.48
DRAM summary                         |            |            |            |           
  num dram accesses                  |     314087 |          0 |          0 |          0
  average dram access latency (ns)   |      59.01 |        inf |        inf |        inf
  average dram queueing delay        |       5.58 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      44893 |      48625 |      45238 |      55857
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
