                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  118571415 |  119147234 |  117982809 |  121557032
  Cycles                             |  185284812 |  185284812 |  185284812 |  185284812
  IPC                                |       0.64 |       0.64 |       0.64 |       0.66
  Time (ns)                          |   69655945 |   69655945 |   69655945 |   69655945
  Idle time (ns)                     |    3006353 |    3075445 |    3097020 |    3011537
  Idle time (%)                      |       4.3% |       4.4% |       4.4% |       4.3%
Branch predictor stats               |            |            |            |           
  num correct                        |   10884424 |   11067333 |   10864716 |   11296544
  num incorrect                      |     952809 |     952575 |     978489 |     973434
  misprediction rate                 |      8.05% |      7.92% |      8.26% |      7.93%
  mpki                               |       8.04 |       7.99 |       8.29 |       8.01
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   15885889 |   16190918 |   15780748 |   16605950
    num misses                       |         14 |         46 |         46 |         44
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   48062900 |   48045850 |   47785707 |   49036501
    num misses                       |     233571 |     254044 |     261915 |     282057
    miss rate                        |      0.49% |      0.53% |      0.55% |      0.58%
    mpki                             |       1.97 |       2.13 |       2.22 |       2.32
  L2 TLB                             |            |            |            |           
    num accesses                     |     233585 |     254090 |     261961 |     282101
    num misses                       |      38236 |      37260 |      46508 |      46698
    miss rate                        |     16.37% |     14.66% |     17.75% |     16.55%
    mpki                             |       0.32 |       0.31 |       0.39 |       0.38
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   15885889 |   16190918 |   15780748 |   16605950
    num cache misses                 |    2621786 |    2538996 |    2498150 |    2423011
    miss rate                        |     16.50% |     15.68% |     15.83% |     14.59%
    mpki                             |      22.11 |      21.31 |      21.17 |      19.93
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   48113598 |   48096887 |   47834673 |   49084047
    num cache misses                 |    5464046 |    6044139 |    5787932 |    6130937
    miss rate                        |     11.36% |     12.57% |     12.10% |     12.49%
    mpki                             |      46.08 |      50.73 |      49.06 |      50.44
  Cache L2                           |            |            |            |           
    num cache accesses               |    8095892 |    8591106 |    8293773 |    8560577
    num cache misses                 |     400945 |     336757 |     412609 |     387003
    miss rate                        |      4.95% |      3.92% |      4.97% |      4.52%
    mpki                             |       3.38 |       2.83 |       3.50 |       3.18
  Cache L3                           |            |            |            |           
    num cache accesses               |     411087 |     344761 |     420346 |     393657
    num cache misses                 |      44963 |      47597 |      57944 |      46363
    miss rate                        |     10.94% |     13.81% |     13.78% |     11.78%
    mpki                             |       0.38 |       0.40 |       0.49 |       0.38
DRAM summary                         |            |            |            |           
  num dram accesses                  |     314989 |          0 |          0 |          0
  average dram access latency (ns)   |      58.46 |        inf |        inf |        inf
  average dram queueing delay        |       5.03 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      44361 |      47196 |      57481 |      45926
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
